Date,Year,Temp Avg (°C),Precipitation (mm),Windspeed (km/h),Humidity (%),Temp Avg (°C)_norm,Precipitation (mm)_norm,Windspeed (km/h)_norm,Humidity (%)_norm,Qty (Sales)_BRUSHETTA CLASSICA - 2502,Qty (Sales)_FOC ROSEMARY - 7512,Qty (Sales)_LASAGNE - 3513,Qty (Sales)_MOZZARELLA FRITTA - 2003,Qty (Sales)_NONNAS BURGER - 6502,Qty (Sales)_ONION RINGS - 7507,Qty (Sales)_PENNE ARRABBIATA - 3500,Qty (Sales)_PENNE CON POLLO - 3507,Qty (Sales)_PENNE SALSICCIA - 3506,Qty (Sales)_PZ MARGHERITA - 4500,Qty (Sales)_PZ MESSICANA - 4504,Qty (Sales)_RIBEYE STEAK - 6501,Qty (Sales)_SKINNY FRIES - 7510,Qty (Sales)_SPAG BOLGNESE - 3504,Qty (Sales)_SPAG CARBONARA - 3503,Qty (Sales)_SPAG POMODORO - 3502,Qty (Sales)_TA FOC ROSE - 25600,Qty (Sales)_TA LASAGNE - 25200,Qty (Sales)_TA MARG PZ - 25300,Qty (Sales)_TA NONNAS BURGER - 25106,Qty (Sales)_TA PENNE ARRABBIATA - 25208,Qty (Sales)_TA PENNE POLLO - 25206,Qty (Sales)_TA PENNE SALSICCIA - 25204,Qty (Sales)_TA SKINNY FRIES - 25505,Qty (Sales)_TA SPAG BOLOGNESE - 25203,Qty (Sales)_TA SPAG CARBONARA - 25202,Qty (Sales)_TA SPAG POMODORO - 25209,Gross Rev._BRUSHETTA CLASSICA - 2502,Gross Rev._FOC ROSEMARY - 7512,Gross Rev._LASAGNE - 3513,Gross Rev._MOZZARELLA FRITTA - 2003,Gross Rev._NONNAS BURGER - 6502,Gross Rev._ONION RINGS - 7507,Gross Rev._PENNE ARRABBIATA - 3500,Gross Rev._PENNE CON POLLO - 3507,Gross Rev._PENNE SALSICCIA - 3506,Gross Rev._PZ MARGHERITA - 4500,Gross Rev._PZ MESSICANA - 4504,Gross Rev._RIBEYE STEAK - 6501,Gross Rev._SKINNY FRIES - 7510,Gross Rev._SPAG BOLGNESE - 3504,Gross Rev._SPAG CARBONARA - 3503,Gross Rev._SPAG POMODORO - 3502,Gross Rev._TA FOC ROSE - 25600,Gross Rev._TA LASAGNE - 25200,Gross Rev._TA MARG PZ - 25300,Gross Rev._TA NONNAS BURGER - 25106,Gross Rev._TA PENNE ARRABBIATA - 25208,Gross Rev._TA PENNE POLLO - 25206,Gross Rev._TA PENNE SALSICCIA - 25204,Gross Rev._TA SKINNY FRIES - 25505,Gross Rev._TA SPAG BOLOGNESE - 25203,Gross Rev._TA SPAG CARBONARA - 25202,Gross Rev._TA SPAG POMODORO - 25209,Net Rev._BRUSHETTA CLASSICA - 2502,Net Rev._FOC ROSEMARY - 7512,Net Rev._LASAGNE - 3513,Net Rev._MOZZARELLA FRITTA - 2003,Net Rev._NONNAS BURGER - 6502,Net Rev._ONION RINGS - 7507,Net Rev._PENNE ARRABBIATA - 3500,Net Rev._PENNE CON POLLO - 3507,Net Rev._PENNE SALSICCIA - 3506,Net Rev._PZ MARGHERITA - 4500,Net Rev._PZ MESSICANA - 4504,Net Rev._RIBEYE STEAK - 6501,Net Rev._SKINNY FRIES - 7510,Net Rev._SPAG BOLGNESE - 3504,Net Rev._SPAG CARBONARA - 3503,Net Rev._SPAG POMODORO - 3502,Net Rev._TA FOC ROSE - 25600,Net Rev._TA LASAGNE - 25200,Net Rev._TA MARG PZ - 25300,Net Rev._TA NONNAS BURGER - 25106,Net Rev._TA PENNE ARRABBIATA - 25208,Net Rev._TA PENNE POLLO - 25206,Net Rev._TA PENNE SALSICCIA - 25204,Net Rev._TA SKINNY FRIES - 25505,Net Rev._TA SPAG BOLOGNESE - 25203,Net Rev._TA SPAG CARBONARA - 25202,Net Rev._TA SPAG POMODORO - 25209,Day of the Week_Friday,Day of the Week_Monday,Day of the Week_Saturday,Day of the Week_Sunday,Day of the Week_Thursday,Day of the Week_Tuesday,Day of the Week_Wednesday,Is_Holiday,Is_Weekend,Month,Quarter,Dish_Type_Side,Dish_Type_Starter,Total_Daily_Sales
2022-01-01,2022,11.0,324.35799999999995,42.9,85.0,0.2845225677439631,1.84107502831855,1.8733710501186989,0.3531612883419532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0.0
2022-01-02,2022,8.0,34.4932,35.5,85.5,-0.3427216675683771,-0.3608144773322708,1.0967652322427714,0.4173788294393541,15.0,3.0,8.0,20.0,2.0,0.0,15.0,17.0,3.0,15.0,1.0,3.0,14.0,5.0,6.0,0.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,89.25,17.85,79.6,130.0,25.9,0.0,134.25,186.15,32.85,134.25,11.95,68.85,48.3,47.25,59.7,0.0,9.9,7.5,39.0,15.5,6.5,7.8,7.8,8.0,7.5,22.5,0.0,74.38,14.88,66.33,108.33,21.58,0.0,111.88,155.12,27.38,111.88,9.96,57.38,40.25,39.38,49.75,0.0,8.25,6.25,32.5,12.92,5.42,6.5,6.5,6.67,6.25,18.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,149.0
2022-01-03,2022,4.6,238.379,37.3,88.0,-1.0535984675890295,1.1879558575660067,1.2856693501044834,0.738466534926359,16.0,10.0,11.0,18.0,2.0,0.0,9.0,9.0,11.0,6.0,7.0,3.0,12.0,5.0,14.0,3.0,2.0,0.0,8.0,1.0,5.0,0.0,4.0,5.0,2.0,2.0,0.0,95.2,59.5,109.45,117.0,25.9,0.0,80.55,98.55,120.45,53.7,83.65,68.85,41.4,47.25,139.3,26.85,9.9,0.0,52.0,7.75,32.5,0.0,31.2,10.0,15.0,15.0,0.0,79.33,49.58,91.21,97.5,21.58,0.0,67.12,82.12,100.38,44.75,69.71,57.38,34.5,39.38,116.08,22.38,8.25,0.0,43.33,6.46,27.08,0.0,26.0,8.33,12.5,12.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,165.0
2022-01-04,2022,1.1,0.0,31.8,78.4,-1.7853834087867595,-0.6228339260418585,0.7084623233048077,-0.494510254143739,19.0,3.0,7.0,10.0,2.0,0.0,5.0,11.0,10.0,10.0,3.0,1.0,17.0,4.0,7.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,113.05,17.85,69.65,65.0,25.9,0.0,44.75,120.45,109.5,89.5,35.85,22.95,58.65,37.8,69.65,8.95,0.0,0.0,13.0,15.5,0.0,7.8,7.8,2.0,7.5,0.0,0.0,94.21,14.88,58.04,54.17,21.58,0.0,37.29,100.38,91.25,74.58,29.88,19.12,48.88,31.5,58.04,7.46,0.0,0.0,10.83,12.92,0.0,6.5,6.5,1.67,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,1,0,0,118.0
2022-01-05,2022,1.8,0.0,25.7,74.1,-1.6390264205472136,-0.6228339260418585,0.0682872572178943,-1.046781107581389,2.0,4.0,5.0,2.0,4.0,0.0,4.0,5.0,8.0,6.0,2.0,3.0,7.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.9,23.8,49.75,13.0,51.8,0.0,35.8,54.75,87.6,53.7,23.9,68.85,24.15,28.35,39.8,0.0,0.0,0.0,6.5,0.0,6.5,0.0,7.8,2.0,0.0,0.0,0.0,9.92,19.83,41.46,10.83,43.17,0.0,29.83,45.62,73.0,44.75,19.92,57.38,20.12,23.62,33.17,0.0,0.0,0.0,5.42,0.0,5.42,0.0,6.5,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0,0,63.0
2022-01-06,2022,2.8,155.7782,38.7,85.7,-1.4299450087764336,0.5604983853984224,1.4325947751080377,0.4430658458783149,2.0,1.0,5.0,8.0,2.0,0.0,3.0,7.0,5.0,0.0,3.0,1.0,5.0,2.0,6.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,11.9,5.95,49.75,52.0,25.9,0.0,26.85,76.65,54.75,0.0,35.85,22.95,17.25,18.9,59.7,8.95,4.95,0.0,13.0,0.0,13.0,0.0,0.0,6.0,7.5,0.0,0.0,9.92,4.96,41.46,43.33,21.58,0.0,22.38,63.88,45.62,0.0,29.88,19.12,14.38,15.75,49.75,7.46,4.12,0.0,10.83,0.0,10.83,0.0,0.0,5.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,1,0,0,60.0
2022-01-07,2022,0.7,118.7196,21.8,93.0,-1.869015973495072,0.2789914813724368,-0.3410049981491484,1.380641945900369,11.0,9.0,5.0,13.0,3.0,0.0,3.0,11.0,9.0,3.0,6.0,1.0,10.0,4.0,9.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,65.45,53.55,49.75,84.5,38.85,0.0,26.85,120.45,98.55,26.85,71.7,22.95,34.5,37.8,89.55,0.0,4.95,7.5,19.5,0.0,13.0,0.0,15.6,4.0,15.0,0.0,6.5,54.54,44.62,41.46,70.42,32.38,0.0,22.38,100.38,82.12,22.38,59.75,19.12,28.75,31.5,74.62,0.0,4.12,6.25,16.25,0.0,10.83,0.0,13.0,3.33,12.5,0.0,5.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,111.0
2022-01-08,2022,3.5,245.5164,25.3,91.3,-1.2835880205368877,1.2421734312680643,0.0263085643597362,1.1623023061692053,15.0,10.0,7.0,27.0,4.0,0.0,10.0,8.0,15.0,7.0,4.0,1.0,26.0,3.0,7.0,2.0,2.0,0.0,5.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,0.0,89.25,59.5,69.65,175.5,51.8,0.0,89.5,87.6,164.25,62.65,47.8,22.95,89.7,28.35,69.65,17.9,9.9,0.0,32.5,7.75,13.0,23.4,31.2,8.0,15.0,22.5,0.0,74.38,49.58,58.04,146.25,43.17,0.0,74.58,73.0,136.88,52.21,39.83,19.12,74.75,23.62,58.04,14.92,8.25,0.0,27.08,6.46,10.83,19.5,26.0,6.67,12.5,18.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,172.0
2022-01-09,2022,3.4,122.682,22.9,94.1,-1.3044961617139654,0.3090909173066751,-0.2255635927892134,1.5219205363146504,6.0,0.0,3.0,9.0,1.0,0.0,8.0,5.0,4.0,5.0,2.0,1.0,13.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,35.7,0.0,29.85,58.5,12.95,0.0,71.6,54.75,43.8,44.75,23.9,22.95,44.85,0.0,29.85,17.9,0.0,0.0,0.0,0.0,6.5,7.8,0.0,0.0,0.0,0.0,0.0,29.75,0.0,24.88,48.75,10.79,0.0,59.67,45.62,36.5,37.29,19.92,19.12,37.38,0.0,24.88,14.92,0.0,0.0,0.0,0.0,5.42,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,64.0
2022-01-10,2022,6.0,73.63459999999999,27.9,95.0,-0.7608844911099373,-0.0634860749305958,0.2991700679377646,1.6375121102899728,3.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,17.85,0.0,19.9,6.5,25.9,0.0,8.95,0.0,10.95,8.95,0.0,22.95,13.8,18.9,49.75,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,4.0,0.0,0.0,0.0,14.88,0.0,16.58,5.42,21.58,0.0,7.46,0.0,9.12,7.46,0.0,19.12,11.5,15.75,41.46,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,3.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,26.0
